place,img_name,caption
courthouse,Places365_val_00001821.jpg,"The image features a large, ornate red and white building with a domed roof, which appears to be a mosque.  The building is surrounded by a courtyard, and there are several people scattered throughout the scene. Some are standing near the building, while others are further away. The overall atmosphere of the scene suggests a peaceful and serene environment, with the mosque as the focal point."
courthouse,Places365_val_00003247.jpg,"The image features a large, ornate building with a prominent fountain in front of it.  The building is a courthouse, as indicated by the presence of a statue of a man and a statue of a woman. The fountain is located in the middle of the courtyard, and the building's architecture is reminiscent of a European palace.  There are several people scattered around the courtyard, likely admiring the architecture and the fountain. The scene captures the grandeur and beauty of the courthouse and its surroundings."
courthouse,Places365_val_00004130.jpg,"The image features a large, old-fashioned building with a red roof, likely a castle or a historical building.  The building has a prominent clock tower, and there are several windows on the facade. The clock is located towards the center of the building, and the windows are spread out across the structure. The building's architecture and design suggest that it may be a museum or a significant landmark."
courthouse,Places365_val_00007827.jpg,"The image features a large, ornate building with a distinctive yellow and brown color scheme.  The building has a prominent archway, and a pair of statues can be seen on either side of the entrance. The statues are positioned in such a way that they appear to be guarding the entrance to the building. The overall architecture of the building is reminiscent of a castle, giving it a grand and majestic appearance."
courthouse,Places365_val_00008773.jpg,"The image features a group of three men in military uniforms standing in front of a white house.  The men are positioned in a line, with one on the left, another in the middle, and the third on the right side of the scene. They are all wearing ties, which are visible as they stand in front of the house. The house has a doorway with a flag hanging above it, adding a patriotic touch to the scene."
courthouse,Places365_val_00008781.jpg,"The image features a large, pink and white building with a prominent clock tower.  The building has a total of 14 windows, with some of them being arched. The clock is situated on the side of the building, making it a prominent feature. The building appears to be a historical structure, possibly a castle or a mansion, with a grand entrance.  The scene is set in a courtyard, with a staircase leading up to the entrance of the building. The overall atmosphere of the image is one of grandeur and historical significance."
courthouse,Places365_val_00008799.jpg,"The image features a large clock tower with a clock on each side, towering over a city.  The clock tower is situated in front of a building with a clock on the side. The building has a clock on the side, and there are two clocks on the tower itself. The clocks are visible in the dark, adding a sense of depth to the scene.  In addition to the clock tower, there are two people in the image, one standing closer to the left side and the other near the right side. The presence of these individuals adds a sense of scale and human presence to the scene."
courthouse,Places365_val_00009781.jpg,"The image features a large, old building with a tall clock tower.  The building has a distinctive red roof, and the clock tower is situated at the top of the structure. The clock is visible on the tower, making it a prominent feature of the building. The building's architecture is reminiscent of a castle, giving it a grand and historic appearance.  In the foreground, there are several potted plants, adding a touch of greenery to the scene. The plants are scattered around the building, with some closer to the foreground and others further away."
courthouse,Places365_val_00010023.jpg,"The image features a large, old brick building with a pointed roof, likely a church or a historical building.  There are several trees surrounding the building, with one tree located in the foreground and two others on the right side of the building. The trees provide a pleasant atmosphere to the scene.  In the background, there is a car parked, possibly belonging to someone visiting the building or attending an event."
courthouse,Places365_val_00010034.jpg,"The image features a large, two-story building with a prominent clock tower.  There are several people walking around the area, with some of them carrying handbags. A traffic light is visible near the building, and a fire hydrant can be seen on the sidewalk. The scene also includes a bench, a potted plant, and a trash can, adding to the urban atmosphere.  The building appears to be a courthouse, as indicated by the presence of the clock tower and the overall architectural style."
courthouse,Places365_val_00010852.jpg,"The image features a large, old building with a prominent clock tower.  The building is surrounded by trees, with a few visible in the foreground and others in the background. The clock tower is located towards the center of the building, and the building itself appears to be made of stone.  There are two people in the scene, one standing closer to the left side of the building and the other near the right side. The presence of these individuals adds a sense of scale and life to the otherwise quiet and historic setting."
courthouse,Places365_val_00010985.jpg,"The image features a large, white, and tan building with a prominent clock tower.  There are several people in the scene, with one person standing near the center of the building, another person closer to the right side, and a third person near the left side. A car is parked in front of the building, and a truck is visible on the right side of the scene.  The building has a staircase leading up to the entrance, and a handrail is installed for safety. The presence of the clock tower and the people in the scene suggest that this building might be a public or governmental building."
courthouse,Places365_val_00017546.jpg,"The image features a large, historic building with a prominent clock tower.  The building is surrounded by a lush green lawn, and there are several people walking around the area. Some of them are closer to the building, while others are scattered throughout the scene.  In addition to the people, there are two benches visible in the image, one located near the right side of the scene and the other further to the right. The presence of these benches suggests that the area is a place for relaxation and enjoyment."
courthouse,Places365_val_00017957.jpg,"The image depicts a busy city street with a large building in the background.  There are several cars parked along the street, including a truck on the right side of the scene. A car is parked in front of the building, while another car is located further down the street. A person can be seen walking on the sidewalk near the parked cars.  In addition to the vehicles, there are two traffic lights visible in the scene, one near the center and the other towards the right side. The presence of these traffic lights indicates that the street is well-regulated for vehicle and pedestrian safety."
courthouse,Places365_val_00018161.jpg,"The image features a large, red brick building with a tall clock tower.  The building has a prominent clock on its side, and there are several windows on the front and sides. The clock tower stands tall above the rest of the building, making it a focal point.  In the foreground, there are two benches, one on the left side and another on the right side of the building. Additionally, there are two potted plants, one near the center of the scene and another closer to the right side."
courthouse,Places365_val_00021398.jpg,"The image features a large, old, and possibly abandoned building with a prominent clock tower.  The building has a tall clock tower on the left side, and a smaller clock tower on the right side. The clocks on both towers are visible, indicating the time. The building also has a large archway, which adds to its architectural charm.  There are two people in the scene, one standing closer to the left side of the building and the other near the right side. Additionally, there are two potted plants, one located near the center of the scene and the other towards the right side."
courthouse,Places365_val_00021855.jpg,"The image features a large, white building with a prominent clock tower.  There are several people walking around the area, with one person walking near the left side of the building, another person closer to the center, and a third person on the right side. A fourth person is walking further away from the building, closer to the right edge of the image.  In addition to the people, there are two traffic lights visible in the scene, one near the left side of the building and the other closer to the right side. A car can also be seen parked on the right side of the image."
courthouse,Places365_val_00023184.jpg,"The image depicts a city street with a tall building in the background.  There are several people walking on the sidewalk, with one person walking closer to the foreground and two others further back. A couple of individuals are carrying handbags, with one handbag located near the center of the scene and the other one closer to the right side.  A car is parked on the left side of the street, and a traffic light can be seen in the background, indicating that the street is well-regulated for traffic. The scene captures the bustling atmosphere of a city street with people going about their daily activities."
courthouse,Places365_val_00025859.jpg,"The image features a large, old building with a tree in front of it.  There are several cars parked outside the building, with some closer to the foreground and others further back. A fire hydrant is also visible on the sidewalk, near the right edge of the image. The scene appears to be a mix of urban and natural elements, with the tree providing a touch of greenery in the midst of the cityscape."
